"Statistic","Financial Year","Antrim and Newtownabbey","Armagh City, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry City and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid and East Antrim","Mid Ulster","Newry, Mourne and Down","Ards and North Down","Northern Ireland"
"Surface Defects Instructed","2019/20",4433,16359,5618,8409,7526,11152,5175,7945,11769,21440,4271,104097
"Surface Defects Instructed","2020/21",5791,12894,5431,8284,8478,10843,5630,7430,12157,12745,3935,93618
"Surface Defects Instructed","2021/22",5822,14141,5322,6566,14563,8523,4587,7450,12821,18579,4220,102594
"Surface Defects Instructed","2022/23",7167,14985,6198,5429,11455,8255,3533,6765,12479,20005,4216,100487
"Surface Defects Instructed","2023/24",7532,12716,7410,5279,9712,12618,4292,7011,11257,21276,4643,103746
"Surface Defects Instructed","2024/25",8738,8257,7287,4900,6597,12056,4256,9223,13671,14033,2697,91715
