"Statistic","Financial Year","Local Government District","A Class","B Class","C Class"
"Average","2020/21","Derry City and Strabane",12.3,26.9,34.9
"Average","2020/21","Fermanagh and Omagh",15.4,25.4,34.3
"Average","2020/21","Lisburn and Castlereagh",17.9,22.9,28
"Average","2020/21","Mid and East Antrim",10.9,21.7,29
"Average","2020/21","Mid Ulster",17.8,26.6,33.1
"Average","2020/21","Newry, Mourne and Down",22.9,25.2,37.8
"Average","2020/21","Ards and North Down",19.4,16.5,21.2
"Average","2020/21","Northern Ireland",16.3,23.5,31.9
"Average","2021/22","Antrim and Newtownabbey",10.3,19.3,21.8
"Average","2021/22","Armagh City, Banbridge and Craigavon",16.8,23,31.1
"Average","2021/22","Belfast",18.6,14.6,14.6
"Average","2021/22","Causeway Coast and Glens",12.3,21.3,28.8
"Average","2021/22","Derry City and Strabane",12.6,26.2,34.4
"Average","2021/22","Fermanagh and Omagh",13.5,25.4,34.3
"Average","2021/22","Lisburn and Castlereagh",16.5,21.9,25.8
"Average","2021/22","Mid and East Antrim",9.9,19.7,28.2
"Average","2021/22","Mid Ulster",16.6,26.5,32.9
"Average","2021/22","Newry, Mourne and Down",21.5,25.2,37.9
"Average","2021/22","Ards and North Down",17.7,16.2,20.7
"Average","2021/22","Northern Ireland",15.3,23.3,31.5
"Average","2022/23","Antrim and Newtownabbey",9.5,17.9,21.9
"Average","2022/23","Armagh City, Banbridge and Craigavon",17.2,20.6,30.7
"Average","2022/23","Belfast",17.6,14.1,15
"Average","2022/23","Causeway Coast and Glens",13.1,19.7,26.2
"Average","2022/23","Derry City and Strabane",13.2,25.6,33.7
"Average","2022/23","Fermanagh and Omagh",13.4,24.9,34.1
"Average","2022/23","Lisburn and Castlereagh",14.9,21.8,25.9
"Average","2022/23","Mid and East Antrim",10.6,18.5,26.6
"Average","2022/23","Mid Ulster",17,26.4,32.8
"Average","2022/23","Newry, Mourne and Down",20.6,24.8,37.6
"Average","2022/23","Ards and North Down",18.1,16.7,19.9
"Average","2022/23","Northern Ireland",15.4,22.4,31
"Average","2023/24","Antrim and Newtownabbey",11.7,17.9,22.1
"Average","2023/24","Armagh City, Banbridge and Craigavon",20.3,20.2,30.9
"Average","2023/24","Belfast",18.2,15.2,16.6
"Average","2023/24","Causeway Coast and Glens",15,17.4,25.5
"Average","2023/24","Derry City and Strabane",14,25.1,33.9
"Average","2023/24","Fermanagh and Omagh",15.6,23.7,33.8
"Average","2023/24","Lisburn and Castlereagh",17,20.9,25.9
"Average","2023/24","Mid and East Antrim",16.7,18.5,26.6
"Average","2023/24","Mid Ulster",17.4,25.9,32.8
"Average","2023/24","Newry, Mourne and Down",22.6,25.2,36.7
"Average","2023/24","Ards and North Down",21.5,21.3,22.9
"Average","2023/24","Northern Ireland",17.8,21.8,30.9
"Average","2024/25","Antrim and Newtownabbey",11.9,18.2,23
"Average","2024/25","Armagh City, Banbridge and Craigavon",20.4,18.7,32.5
"Average","2024/25","Belfast",18.2,16,17.6
"Average","2024/25","Causeway Coast and Glens",14,22,28.3
"Average","2024/25","Derry City and Strabane",13.7,29.9,35.2
"Average","2024/25","Fermanagh and Omagh",15.6,25.6,36
"Average","2024/25","Lisburn and Castlereagh",17,23.2,26.6
"Average","2024/25","Mid and East Antrim",16.7,18.8,28.9
"Average","2024/25","Mid Ulster",17.5,25.6,34.8
"Average","2024/25","Newry, Mourne and Down",22.6,27.2,38.4
"Average","2024/25","Ards and North Down",21.5,21.9,23.1
"Average","2024/25","Northern Ireland",17.7,23.6,32.8
"Poor","2019/20","Antrim and Newtownabbey",1.4,3,2.8
"Poor","2019/20","Armagh City, Banbridge and Craigavon",1.8,3.2,4.8
"Poor","2019/20","Belfast",2.9,2.2,1.8
"Poor","2019/20","Causeway Coast and Glens",1.2,2.4,3.4
